MOL_ID,AMW,nArCONR2,Ku,H-053,HATS8u,EEig06x,RDF035m,R5u+,ALOGPS_logS,E3v,RT
1.0,7.75,0.0,0.473,0.0,0.368,2.848,6.808,0.036,-2.9,0.109,16.33
2.0,6.86,0.0,0.649,2.0,0.302,3.51,8.946,0.031,-3.18,0.267,8.15
3.0,7.54,0.0,0.518,0.0,0.295,3.479,10.819,0.03,-3.44,0.358,14.23
4.0,8.1,0.0,0.488,0.0,0.387,2.882,8.602,0.034,-3.32,0.099,20.05
5.0,6.96,0.0,0.751,0.0,0.205,3.506,9.655,0.033,-3.22,0.168,10.42
6.0,8.35,0.0,0.468,0.0,0.391,3.119,8.618,0.033,-2.63,0.151,15.6
7.0,7.27,0.0,0.332,2.0,0.48,2.937,7.749,0.036,-3.13,0.348,15.68
8.0,8.67,0.0,0.47,0.0,0.406,2.965,7.927,0.038,-3.67,0.088,24.4
9.0,7.55,0.0,0.555,0.0,0.32,3.453,8.55,0.028,-4.11,0.287,15.1
10.0,7.38,0.0,0.485,0.0,0.39,2.846,8.657,0.036,-3.1,0.106,18.71
11.0,6.86,0.0,0.767,0.0,0.203,3.441,9.019,0.038,-2.93,0.155,10.76
12.0,7.82,0.0,0.498,0.0,0.389,2.843,8.663,0.036,-3.1,0.157,18.42
13.0,7.53,0.0,0.537,0.0,0.316,3.453,11.97,0.031,-2.28,0.212,11.67
14.0,6.99,0.0,0.786,0.0,0.198,3.442,9.147,0.031,-2.73,0.142,10.29
15.0,7.67,0.0,0.558,0.0,0.323,3.453,8.651,0.03,-3.6,0.231,14.53
16.0,7.77,0.0,0.334,2.0,0.302,3.45,9.219,0.024,-3.47,0.195,12.83
17.0,7.53,0.0,0.392,2.0,0.329,3.511,10.564,0.027,-2.62,0.27,10.05
18.0,7.27,0.0,0.463,0.0,0.449,2.839,7.845,0.039,-2.89,0.107,21.05
19.0,7.19,0.0,0.532,0.0,0.269,3.532,9.939,0.026,-3.47,0.227,14.07
20.0,8.07,0.0,0.441,0.0,0.282,3.651,12.477,0.02,-3.32,0.273,13.7
21.0,7.68,0.0,0.437,2.0,0.273,3.294,8.38,0.024,-3.01,0.242,9.51
22.0,7.68,0.0,0.437,0.0,0.272,3.286,7.796,0.024,-2.73,0.243,11.4
23.0,7.75,0.0,0.344,2.0,0.494,3.037,8.489,0.034,-3.2,0.341,12.58
24.0,7.17,0.0,0.767,0.0,0.228,3.446,11.386,0.036,-2.94,0.165,13.31
25.0,6.95,0.0,0.726,0.0,0.215,3.415,9.246,0.031,-3.24,0.137,11.3
26.0,7.43,0.0,0.572,0.0,0.296,3.454,9.35,0.027,-4.06,0.258,15.91
27.0,7.43,0.0,0.519,0.0,0.314,3.453,8.578,0.028,-4.0,0.244,15.71
28.0,7.55,0.0,0.518,0.0,0.301,3.454,8.701,0.027,-3.76,0.231,15.34
29.0,7.55,0.0,0.521,0.0,0.278,3.438,8.507,0.028,-3.92,0.224,15.45
30.0,7.53,0.0,0.378,2.0,0.371,3.295,10.738,0.028,-3.57,0.318,18.21
31.0,7.68,0.0,0.702,0.0,0.3,3.347,9.137,0.025,-2.69,0.254,9.34
32.0,7.53,0.0,0.583,0.0,0.296,3.437,10.501,0.031,-2.45,0.232,11.75
33.0,7.4,0.0,0.615,0.0,0.315,3.441,10.898,0.029,-2.66,0.229,8.25
34.0,7.68,0.0,0.566,0.0,0.302,3.437,8.468,0.031,-3.73,0.228,14.64
35.0,7.18,0.0,0.58,2.0,0.34,3.455,14.774,0.026,-3.34,0.304,12.61
36.0,7.4,0.0,0.392,2.0,0.351,3.51,10.555,0.027,-3.02,0.29,10.23
37.0,6.96,1.0,0.654,0.0,0.262,3.437,12.708,0.03,-2.88,0.246,9.91
38.0,7.49,0.0,0.756,0.0,0.2,3.449,15.861,0.03,-3.12,0.157,15.51
39.0,7.24,0.0,0.674,0.0,0.281,3.44,8.798,0.032,-4.33,0.349,17.4
40.0,7.73,0.0,0.807,0.0,0.189,4.272,23.129,0.017,-3.33,0.265,11.4
41.0,7.41,0.0,0.374,0.0,0.305,3.454,17.462,0.029,-2.19,0.336,11.59
42.0,7.07,0.0,0.501,0.0,0.195,3.372,7.183,0.026,-2.97,0.138,9.64
43.0,7.33,0.0,0.385,0.0,0.267,3.228,8.917,0.02,-3.16,0.287,10.8
44.0,7.36,0.0,0.669,0.0,0.289,3.437,8.397,0.032,-4.13,0.327,14.92
45.0,7.94,0.0,0.467,0.0,0.45,2.961,9.599,0.036,-2.81,0.101,20.44
46.0,7.02,0.0,0.764,0.0,0.231,3.531,10.88,0.029,-3.71,0.219,14.06
47.0,7.07,1.0,0.619,0.0,0.251,3.415,12.621,0.03,-2.77,0.223,9.03
48.0,6.86,0.0,0.742,0.0,0.174,3.442,9.051,0.031,-3.25,0.152,10.6
49.0,7.33,0.0,0.386,0.0,0.267,3.229,7.017,0.021,-3.41,0.289,10.8
50.0,8.13,0.0,0.478,0.0,0.398,3.124,9.593,0.03,-3.26,0.092,19.67
51.0,7.4,0.0,0.578,0.0,0.329,3.47,9.734,0.031,-3.02,0.296,11.07
52.0,7.53,0.0,0.593,0.0,0.319,3.289,9.97,0.031,-3.55,0.273,21.56
53.0,7.18,0.0,0.373,0.0,0.445,2.937,6.705,0.031,-2.78,0.287,15.54
54.0,7.65,0.0,0.576,0.0,0.334,3.47,7.308,0.034,-3.71,0.285,15.44
